G1,G2,G3,G4,G5,V_GMPP,P_Max
900,900,900,200,100,108.252215265287,465.769588828503
1000,900,900,200,100,109.07275443757,475.791139683005
1000,1000,900,200,100,110.336197547289,488.408487102995
1000,1000,1000,200,100,108.330403475594,517.570606164764
300,300,300,300,100,142.04680278702,204.062889543872
400,300,300,300,100,144.27173498658,209.788492648241
500,300,300,300,100,145.286222462743,211.501751077164
600,300,300,300,100,145.894742466227,212.537969147963
700,300,300,300,100,146.484379855068,213.281076653044
800,300,300,300,100,146.164074748249,213.933856519443
900,300,300,300,100,147.029893288379,214.339150871008
1000,300,300,300,100,147.272144847296,214.742640311392
400,400,300,300,100,146.797831134368,216.352669595884
500,400,300,300,100,147.934553369952,218.133110849519
600,400,300,300,100,148.411726287378,219.198215946239
700,400,300,300,100,149.224724842166,219.957054678007
800,400,300,300,100,149.520930516733,220.552585291836
900,400,300,300,100,149.789775810469,221.039437223757
1000,400,300,300,100,149.997347192259,221.450005637838
500,500,300,300,100,149.020106546178,219.917453589258
600,500,300,300,100,149.621495642365,220.983117840596
700,500,300,300,100,150.542300848003,221.929290798023
800,500,300,300,100,150.678412313524,222.343701752091
900,500,300,300,100,150.893419420945,222.825323720291
1000,500,300,300,100,151.307750926277,223.241561512282
600,600,300,300,100,150.466345818825,222.055989273566
700,600,300,300,100,151.0208481053,222.812876314778
800,600,300,300,100,151.207867038988,223.405533637837
900,600,300,300,100,151.025882732376,223.901999672312
1000,600,300,300,100,151.985552681438,224.304339410603
700,700,300,300,100,70.6504372612454,236.509388329137
800,700,300,300,100,71.8402650266338,245.937571068711
900,700,300,300,100,72.9253601838953,249.768441138839
1000,700,300,300,100,73.3691709274416,252.150469038356
800,800,300,300,100,70.7877566289038,270.703114259122
900,800,300,300,100,71.8194437049861,280.669532172805
1000,800,300,300,100,72.7875420169957,284.96195592229
900,900,300,300,100,70.9594020414947,304.760546247597
1000,900,300,300,100,71.8144161019368,315.186868778647
1000,1000,300,300,100,70.8738331336429,338.647956424444
400,400,400,300,100,151.496116781565,226.05832818996
500,400,400,300,100,151.681975801268,226.354727307319
600,400,400,300,100,152.205225045556,228.847077428719
700,400,400,300,100,152.505840882768,228.049670190865
800,400,400,300,100,153.629716409453,228.857479592859
900,400,400,300,100,154.004347226945,229.877737059657
1000,400,400,300,100,153.473909143144,229.607785009093
500,500,400,300,100,152.894287179543,230.33375981414
600,500,400,300,100,153.567410022639,229.351503572298
700,500,400,300,100,153.985150290988,230.035695880197
800,500,400,300,100,154.75395223485,231.685095706238
900,500,400,300,100,155.279458538327,237.546350293683
1000,500,400,300,100,155.380020923769,237.731464536516
600,600,400,300,100,153.951525314952,230.404087476631
700,600,400,300,100,154.382395160121,231.029161167395
800,600,400,300,100,155.511022401734,232.711537340235
900,600,400,300,100,153.893020346225,232.411333258215
1000,600,400,300,100,155.353087921797,232.547604415827
700,700,400,300,100,70.8236552337579,236.509511291507
800,700,400,300,100,72.0128621236646,245.937426919914
900,700,400,300,100,72.832143674048,249.777201594349
1000,700,400,300,100,73.3844186240674,252.153854147067
800,800,400,300,100,70.7750011928047,270.704384337086
900,800,400,300,100,71.8169303822523,280.67116921685
